time	V(n002)
2.914285714285714e+001	2.578884e+000
2.918571428571429e+001	2.578781e+000
2.922857142857143e+001	2.578688e+000
2.927142857142857e+001	2.578605e+000
2.931428571428571e+001	2.578534e+000
2.935714285714286e+001	2.578472e+000
2.940000000000000e+001	2.578422e+000
2.945599999999992e+001	2.578166e+000
2.950000000000000e+001	2.577820e+000
2.954479999999994e+001	2.577541e+000
2.960000000000000e+001	2.577454e+000
2.970000000000000e+001	2.577656e+000
2.974480000000157e+001	2.577865e+000
2.980000000000000e+001	2.578307e+000
2.985599999995302e+001	2.578643e+000
2.990000000000000e+001	2.578708e+000
2.994479999996241e+001	2.578766e+000
3.000000000000000e+001	2.579044e+000
3.005600000112763e+001	2.579249e+000
3.010000000000000e+001	2.579223e+000
3.021428571428572e+001	2.578920e+000
3.032857142857143e+001	2.578668e+000
3.044285714285714e+001	2.578468e+000
3.055714285714286e+001	2.578320e+000
3.067142857142857e+001	2.578224e+000
3.078571428571429e+001	2.578179e+000
3.090000000000000e+001	2.578186e+000
3.095599997293673e+001	2.578379e+000
3.100000000000000e+001	2.578680e+000
3.104479997834939e+001	2.578923e+000
3.110000000000000e+001	2.578971e+000
3.117142857142857e+001	2.578802e+000
3.124285714285714e+001	2.578655e+000
3.131428571428572e+001	2.578531e+000
3.138571428571429e+001	2.578430e+000
3.145714285714286e+001	2.578352e+000
3.152857142857143e+001	2.578297e+000
3.160000000000000e+001	2.578265e+000
3.167000000000000e+001	2.578524e+000
3.170000000000000e+001	2.578737e+000
3.180000000000000e+001	2.579521e+000
3.184480000000000e+001	2.579643e+000
3.190000000000000e+001	2.579560e+000
3.195714285714286e+001	2.579319e+000
3.201428571428571e+001	2.579107e+000
3.207142857142857e+001	2.578923e+000
3.212857142857143e+001	2.578767e+000
3.218571428571428e+001	2.578638e+000
3.224285714285714e+001	2.578538e+000
3.230000000000000e+001	2.578465e+000
3.237000000000000e+001	2.578681e+000
3.240000000000000e+001	2.578877e+000
3.245600000000000e+001	2.579112e+000
3.250000000000000e+001	2.579107e+000
3.261371428571429e+001	2.578836e+000
3.272742857142858e+001	2.578611e+000
3.284114285714286e+001	2.578433e+000
3.295485714285714e+001	2.578301e+000
3.306857142857143e+001	2.578215e+000
